itemprop,valid_text,valid,text,href,check,page,title,url,load
structOrgUprav,"Контент text не соответствует описанию в check. Вот почему:
1. В text указаны данные о общем собрании техникума и требования к указанию адреса, сайта и электронной почты техникума.
2. В check говорится о наличии информации на официальном сайте в подразделе «Структура и органы управления образовательной организацией» о структуре и органах управления образовательной организацией.
Таким образом, текст не содержит информации о структуре и органах управления образовательной организацией.",True,"
1
Общее собрание техникума
–
–
Указать адрес техникума
Указать сайт техникума
Указать электронную почту
Положение
",https://disk.yandex.ru/i/3j_09eeFpd0tIA,Главный тег. Наличие на официальном сайте в подразделе «Структура и органы управления образовательной организацией» информации о структуре и органах управления образовательной организацией,21,Структура и органы управления образовательной организацией,/sveden/struct,True
name,Соответствует,True,Наименование органа управления / структурного подразделения,,О наименовании структурного подразделения (органа управления),21,Структура и органы управления образовательной организацией,/sveden/struct,True
fio,"Контент текста ""ФИО руководителя структурного подразделения"" соответствует описанию в check ""О фамилиях, именах, отчествах (при наличии) руководителей структурных подразделений"".",True,ФИО руководителя структурного подразделения,,"О фамилиях, именах, отчествах (при наличии) руководителей структурных подразделений",21,Структура и органы управления образовательной организацией,/sveden/struct,False
post,Соответствует,True,Должность руководителя структурного подразделения,,О должности руководителя структурного подразделения,21,Структура и органы управления образовательной организацией,/sveden/struct,False
addressStr,"Контент текста ""Адрес местонахождения структурного подразделения"" не соответствует описанию в check ""О месте нахождения структурных подразделений"". Причина: текст в check более общий и охватывает информацию о месте нахождения структурных подразделений в целом, тогда как текст в text конкретно указывает на адрес местонахождения структурного подразделения.",True,Адрес местонахождения структурного подразделения,,О месте нахождения структурных подразделений,21,Структура и органы управления образовательной организацией,/sveden/struct,False
site,Соответствует.,True,Адрес официального сайта структурного подразделения,,Об адресах официальных сайтов в сети «Интернет» структурных подразделений (при наличии),21,Структура и органы управления образовательной организацией,/sveden/struct,False
email,Контент text соответствует check. Оба выражения описывают адреса электронной почты структурных подразделений.,True,Адреса электронной почты структурного подразделения,,Об адресах электронной почты структурных подразделений (при наличии),21,Структура и органы управления образовательной организацией,/sveden/struct,False
divisionClauseDocLink,"Контент text не соответствует check. Вот почему:
- Text упоминает ""положение об органе управления/о структурном подразделении"", что не специфицирует, является ли это электронным документом.
- Check требует наличие положений о структурных подразделениях в виде электронного документа.
- Check также требует, чтобы этот электронный документ был подписан простой электронной подписью в соответствии с Федеральным законом от 6 апреля 2011 г. № 63-ФЗ «Об электронной подписи».
Таким образом, text не указывает на то, что документ является электронным и подписанным электронной подписью, что является критическим для соответствия check.",True,Положение об органе управления/ о структурном подразделении,,"О наличии положений о структурных подразделениях в виде электронного документа, подписанного простой электронной подписью в соответствии с Федеральным законом от 6 апреля 2011 г. № 63-ФЗ «Об электронной подписи» (далее соответственно – электронный документ)",22,Структура и органы управления образовательной организацией,/sveden/struct,True
filInfo,"В данном случае, поскольку в переменной `text` значение `None`, то контент не соответствует описанию в `check`.
Ответ: Не соответствует, потому что в `text` нет никакого содержимого.",False,,,Главный тег. Сведения о каждом филиале образовательной организации (в том числе находящихся за пределами Российской Федерации),22,Структура и органы управления образовательной организацией,/sveden/struct,False
nameFil,"Контент text (""None"") не соответствует описанию в check (""О наименовании филиала образовательной организации"").",False,,,О наименовании филиала образовательной организации,22,Структура и органы управления образовательной организацией,/sveden/struct,False
fioFil,"Контент текста ""None"" не соответствует описанию в check, так как в тексте отсутствует информация о фамилии, имени и отчестве (при наличии) руководителя филиала образовательной организации.",False,,,"О фамилии, имени, отчестве (при наличии) руководителя филиала образовательной организации",22,Структура и органы управления образовательной организацией,/sveden/struct,False
postFil,Соответствует.,False,,,О должности руководителя филиала образовательной организации,22,Структура и органы управления образовательной организацией,/sveden/struct,False
addressFil,"Контент text (None) не соответствует описанию в check (О месте нахождения филиала образовательной организации), так как в тексте отсутствует информация.",False,,,О месте нахождения филиала образовательной организации,22,Структура и органы управления образовательной организацией,/sveden/struct,True
emailFil,Содержимое text (None) не соответствует описанию в check (Об адресах электронной почты филиала образовательной организации).,False,,,Об адресах электронной почты филиала образовательной организации,22,Структура и органы управления образовательной организацией,/sveden/struct,False
websiteFil,"Контент text - None.
Контент не соответствует описанию в check, так как в тексте отсутствует информация о адресе официального сайта филиала или странице в сети «Интернет».",False,,,Об адресе официального сайта филиала или странице в сети «Интернет»,22,Структура и органы управления образовательной организацией,/sveden/struct,False
repInfo,"Контент text представляет собой значение None, что не содержит никакой информации. В то время как check описывает структуру и содержание данных о представительствах образовательной организации. Поэтому контент text не соответствует описанию в check.",False,,,Главный тег. Сведения о каждом представительстве образовательной организации (в том числе находящихся за пределами Российской Федерации),22,Структура и органы управления образовательной организацией,/sveden/struct,False
